main_con	frequency	variant1	frequency_variant1	variant2	frequency_variant2	variant3	frequency_variant3	variant4	frequency_variant4	variant5	frequency_variant5	POStag1	frequency_POStag1	POStag2	frequency_POStag2	POStag3	frequency_POStag3	POStag4	frequency_POStag4	POStag5	frequency_POStag5	ET1	frequency_ET1	ET2	frequency_ET2	ET3	frequency_ET3	ET4	frequency_ET4	ET5	frequency_ET5	ET6	frequency_ET6	ET7	frequency_ET7	relsense1	frequency_RS1	example_RS1_pidgin	example_RS1_english	example_RS1_id	relsense2	frequency_RS2	example_RS2_pidgin	example_RS2_english	example_RS2_id	relsense3	frequency_RS3	example_RS3_pidgin	example_RS3_english	example_RS3_id	relsense4	frequency_RS4	example_RS4	example_RS4_id	relsense5	frequency_RS5	example_RS5_pidgin	example_RS5_english	example_RS5_id	total_occurrence	prop_conuse
abi	18	abi	18									CCONJ	18									or	18													alternative	18	Blow whistle because sey if you blow whistle, you go turn millionaire, but sha o if {your whistle no con loud,} [abi] {dem catch you before di people wey de suppose hear di whistle} dem catch you, oloun sanu e o.	Blow the whistle because if you blow the whistle, you will become a millionaire, but if {your whistle fails} [or] {you get caught before the people who were supposed to hear the whistle…} you get caught... may God have mercy on you.	IBA_33_News-Comments_MG__31																				51	0.352941176
after	46	after	46									ADP	46									after	33	once	1	thereafter	1	when	11							temporal	46	If na you be di papa so, and {your pikin show you dat kind ting} [after] {you don suffer dey find di ting}, wetin you go do am?	If you were the father, and {your child showed you that kind of thing} [after] {you'd gone through the trouble of searching for it}, what will you do to him?	IBA_31_Lens-Sermon_MG__122																				97	0.474226804
also	31	also	31									ADV	31									also	31													conjunction	31	Now {Mr Sam bin yarn sey dis one wey be sey de just dey attack ehn airline staff, sey dis one na very, very embarrassing something.} (…) // And [also] {e bin dey, dey advise all dis airlines wey be sey dey operate inside we obodo say make, make de uphold, make de hold strongly all di commission wey be sey de bin get, di terms, and condition, and contract on all di...}	Now, {Mr Sam has said that the airline staff being attacked is a very embarrassing thing.} (…) // And he [also] {advised all airlines operating in our country that they should... should uphold... they should strongly enforce the commissions they have; the terms, and conditions, and contracts on all the...}	WAZL_03_News-On-Gmns_MG__34 // WAZL_03_News-On-Gmns_MG__37																				40	0.775
and	511	and	511									CCONJ	511									also	1	and	510											conjunction	511	My uncle say toh if me I no write dis year, meh me I no vex sey {I go go find work do,} [and] {im too go try im best.}	My uncle said well, if I didn't do it this year, I shouldn't get angry, {I should go get a job} [and] {he too would try his best.}	ABJ_GWA_08_David-Lifestory_MG__119																				960	0.532291667
as	202	as	202									ADP	202									after	2	as	129	as soon as	17	because	1	since	28	when	20	while	5	cause	18	And [as] {we born for poor family,} {no money.}	And [since] {we were born into a poor family,} {there's no money.}	ONI_07_Dis-Year-Na-My-Year_MG__42	temporal	184	[As] {I sit down,} {na so one client come dey meet me.}	[As] {I sat down,} {this one client was trying to get to know me.}	KAD_09_Kabir-Gymnasium_MG__66															528	0.382575758
as far as	1	as far as	1									ADP ADV ADP	1									as long as	1													condition	1	Sey [as far as] {di place weh me I dey go good,} {meh me I dey careful for dere.}	[As long as] {place I was going was good,} {I should be careful there.}	ABJ_GWA_08_David-Lifestory_MG__96																				3	0.333333333
as if	4	as if	4									ADP SCONJ	4									as if	4													contrast	4	{She just look me, smile, comot abf,} [as if] {sey she no see as we dey yab oursef.}	{She just looked at me, smiled, took her f-…} [as if] {she didn't notice how we were teasing each other.}	ENU_37_Dmoris-Restaurant_MG__21																				8	0.5
as in	1	as in	1									ADP ADP	1									in other words	1													restatement	1	As per a sharp guy, dis ting con dey reason sey na {me go pay for her own food matter.} // [As in] {kai agbada don hook wire today be dat!}	As a sharp guy, it occurred to me that {I'll be the one to pay for her meal.} // [In other words,] {it means man, I'm stuck!}	KAD_13_Entering-University_MG__59 // KAD_13_Entering-University_MG__60																				43	0.023255814
as long as	1	as long as	1									ADP ADJ ADP	1									as long as	1													condition	1	From inst-... from fashion o, music, dance, comedy, [as long as] {sey na entertainment,} {my hand suppose dey inside.}	From inst-... from fashion to music, to dance, comedy... [as long as] {it's entertainment,} {I'm supposed to be involved.}	WAZA_10_Bluetooth-Lifestory_MG__109																				1	1
as sey	1	as sey	1									ADP SCONJ	1									as if	1													contrast	1	{Everytime, you just dey waka dey carry hand for up} [as sey] {e get boil for armpit.}	{You're always walking about with your arms up} [as if] {your have boils in your armpits.}	WAZL_15_MC-Abi_MG__72																				3	0.333333333
